Date,Time,Open,Close,High,Low,Volume
2009.10.27,00:00,1.48651,1.49262,1.47701,1.48062,68868
2009.10.28,00:00,1.48063,1.48403,1.46931,1.47153,70078
2009.10.29,00:00,1.47154,1.48585,1.46829,1.48395,62878
2009.10.30,00:00,1.48356,1.48577,1.47029,1.47161,33596
2009.11.02,00:00,1.47161,1.48446,1.46826,1.47710,34929
2009.11.03,00:00,1.47738,1.48103,1.46261,1.47233,39661
2009.11.04,00:00,1.47230,1.49082,1.47018,1.48602,37087
2009.11.05,00:00,1.48621,1.49175,1.48111,1.48712,33034
2009.11.06,00:00,1.48693,1.49139,1.48128,1.48470,30305
2009.11.09,00:00,1.48804,1.50200,1.48520,1.49996,30291
2009.11.10,00:00,1.49992,1.50198,1.49383,1.49920,32352
2009.11.11,00:00,1.49916,1.50478,1.49528,1.49864,29078
2009.11.12,00:00,1.49867,1.50157,1.48207,1.48501,35094
2009.11.13,00:00,1.48497,1.49378,1.48240,1.49038,29093
2009.11.16,00:00,1.49176,1.50147,1.48799,1.49684,27594
2009.11.17,00:00,1.49689,1.49980,1.48076,1.48741,32750
2009.11.18,00:00,1.48746,1.49903,1.48586,1.49621,29853
2009.11.19,00:00,1.49625,1.49650,1.48429,1.49238,31460
2009.11.20,00:00,1.49233,1.49345,1.48008,1.48590,31590
2009.11.23,00:00,1.48552,1.49990,1.48320,1.49609,25384
2009.11.24,00:00,1.49604,1.49881,1.48884,1.49674,29330
2009.11.25,00:00,1.49678,1.51439,1.49551,1.51337,30381
2009.11.26,00:00,1.51327,1.51409,1.49592,1.50197,30610
2009.11.27,00:00,1.50185,1.50185,1.48280,1.49857,43031
2009.11.30,00:00,1.50114,1.50827,1.49611,1.50040,35904
2009.12.01,00:00,1.50033,1.51167,1.49711,1.50795,29862
2009.12.02,00:00,1.50793,1.51089,1.50310,1.50430,26570
2009.12.03,00:00,1.50420,1.51407,1.50420,1.50530,28434
2009.12.04,00:00,1.50523,1.50907,1.48216,1.48555,31736
2009.12.07,00:00,1.48552,1.49042,1.47558,1.48251,33619
2009.12.08,00:00,1.48258,1.48661,1.46804,1.47019,36061
2009.12.09,00:00,1.47030,1.47819,1.46680,1.47237,37635
2009.12.10,00:00,1.47234,1.47598,1.46830,1.47314,30808
2009.12.11,00:00,1.47318,1.47758,1.45860,1.46138,29728
2009.12.14,00:00,1.46216,1.46851,1.45978,1.46553,28980
2009.12.15,00:00,1.46557,1.46622,1.45030,1.45363,28940
2009.12.16,00:00,1.45361,1.45899,1.45048,1.45304,31471
2009.12.17,00:00,1.45310,1.45357,1.43040,1.43371,36186
2009.12.18,00:00,1.43377,1.44108,1.42611,1.43335,33312
2009.12.21,00:00,1.43078,1.43727,1.42669,1.42763,23463
2009.12.22,00:00,1.42767,1.43313,1.42170,1.42476,26115
2009.12.23,00:00,1.42485,1.43658,1.42339,1.43369,21954
2009.12.24,00:00,1.43363,1.44177,1.43226,1.43530,9699
2009.12.28,00:00,1.43866,1.44129,1.43537,1.43781,9791
2009.12.29,00:00,1.43783,1.44577,1.43314,1.43521,15094
2009.12.30,00:00,1.43517,1.43602,1.42729,1.43379,16000
2009.12.31,00:00,1.43374,1.44395,1.43061,1.43291,13202
2010.01.04,00:00,1.43005,1.44555,1.42563,1.44122,28640
2010.01.05,00:00,1.44117,1.44832,1.43460,1.43644,31900
2010.01.06,00:00,1.43639,1.44343,1.42830,1.44070,30873
2010.01.07,00:00,1.44086,1.44459,1.42989,1.43076,30557
2010.01.08,00:00,1.43073,1.44386,1.42636,1.44090,33909
2010.01.11,00:00,1.44269,1.45555,1.44069,1.45121,31163
2010.01.12,00:00,1.45117,1.45451,1.44527,1.44843,33342
2010.01.13,00:00,1.44849,1.45776,1.44562,1.45099,33832
2010.01.14,00:00,1.45095,1.45555,1.44462,1.44977,31871
2010.01.15,00:00,1.44992,1.45108,1.43361,1.43843,33034
2010.01.18,00:00,1.43545,1.43994,1.43347,1.43820,17718
2010.01.19,00:00,1.43823,1.44135,1.42518,1.42869,31708
2010.01.20,00:00,1.42875,1.42949,1.40796,1.41048,38222
2010.01.21,00:00,1.41053,1.41427,1.40285,1.40838,40723
2010.01.22,00:00,1.40838,1.41813,1.40659,1.41359,38044
2010.01.25,00:00,1.41555,1.41938,1.41276,1.41501,29335
2010.01.26,00:00,1.41498,1.41783,1.40420,1.40703,36391
2010.01.27,00:00,1.40699,1.40961,1.39928,1.40226,37202
2010.01.28,00:00,1.40226,1.40520,1.39356,1.39687,36295
2010.01.29,00:00,1.39696,1.39872,1.38607,1.38610,36748
2010.02.01,00:00,1.38622,1.39377,1.38523,1.39300,30118
2010.02.02,00:00,1.39307,1.39740,1.38856,1.39629,29959
2010.02.03,00:00,1.39638,1.40257,1.38854,1.38915,30964
2010.02.04,00:00,1.38919,1.39013,1.37220,1.37220,35489
2010.02.05,00:00,1.37224,1.37446,1.35847,1.36771,47235
2010.02.08,00:00,1.36564,1.37133,1.36208,1.36477,33303
2010.02.09,00:00,1.36469,1.38386,1.36423,1.37955,39818
2010.02.10,00:00,1.37960,1.38119,1.36764,1.37360,38512
2010.02.11,00:00,1.37353,1.38000,1.35949,1.36921,38410
2010.02.12,00:00,1.36916,1.36940,1.35308,1.36300,37392
2010.02.15,00:00,1.36248,1.36328,1.35786,1.35974,18341
2010.02.16,00:00,1.35965,1.37786,1.35881,1.37715,29897
2010.02.17,00:00,1.37700,1.37880,1.35850,1.36041,30784
2010.02.18,00:00,1.36051,1.36542,1.34966,1.35255,36474
2010.02.19,00:00,1.35244,1.36169,1.34431,1.36129,39205
2010.02.22,00:00,1.36346,1.36530,1.35731,1.35946,29066
2010.02.23,00:00,1.35941,1.36912,1.34963,1.35056,37924
2010.02.24,00:00,1.35071,1.36257,1.35017,1.35362,35383
2010.02.25,00:00,1.35389,1.35701,1.34507,1.35471,38787
2010.02.26,00:00,1.35482,1.36828,1.35301,1.36270,36171
2010.03.01,00:00,1.36230,1.36538,1.34599,1.35603,39266
2010.03.02,00:00,1.35608,1.36212,1.34339,1.36142,39422
2010.03.03,00:00,1.36136,1.37356,1.35921,1.36954,39420
2010.03.04,00:00,1.36949,1.37114,1.35510,1.35800,34486
2010.03.05,00:00,1.35804,1.36302,1.35297,1.36224,28733
2010.03.08,00:00,1.36316,1.37041,1.36051,1.36329,26873
2010.03.09,00:00,1.36328,1.36346,1.35371,1.36006,30065
2010.03.10,00:00,1.36004,1.36790,1.35439,1.36565,28779
2010.03.11,00:00,1.36540,1.36868,1.36208,1.36798,25852
2010.03.12,00:00,1.36775,1.37958,1.36690,1.37669,29594
2010.03.15,00:00,1.37617,1.37743,1.36391,1.36745,24249
2010.03.16,00:00,1.36747,1.37826,1.36561,1.37723,29353
2010.03.17,00:00,1.37715,1.38172,1.37261,1.37338,25874
