,Column,value
0,year,2016
1,Currency,EURUSD
2,Threshold,5
3,Neighbours,2
4,Actual Black region,62
5,Actual Non-Black region count,5971
6,True-Positive,45
7,False-Positive,216
8,True-Negative,5954
9,False-Negative,17
10,Precision,0.1724137931034483
11,Recall,0.7258064516129032
12,Accuracy,0.9626123234916559
