,Column,value
0,year,2017
1,Currency,EURUSD
2,Threshold,6
3,Neighbours,2
4,Actual Black region,153
5,Actual Non-Black region count,5880
6,True-Positive,87
7,False-Positive,248
8,True-Negative,5814
9,False-Negative,66
10,Precision,0.25970149253731345
11,Recall,0.5686274509803921
12,Accuracy,0.9494770716009654
