DateHour,Count,Average_lof,Ranking_Factor
2016-06-24 01:00:00,21,6475.862311753275,14.684495037989286
2016-06-23 20:00:00,23,9446.886814578847,17.858009101283265
2016-06-23 16:00:00,14,3583.814519356657,18.284767955901312
2016-06-23 21:00:00,15,4377.753370726894,19.456681647675083
2016-06-24 02:00:00,15,4526.9808079528175,20.119914702012522
2016-06-23 19:00:00,18,6598.668216618059,20.366259927833514
2016-06-14 08:00:00,11,2532.01481872059,20.92574230347595
2016-06-23 15:00:00,21,9396.963515459976,21.308307291292465
2016-06-02 06:00:00,13,3634.0322365444085,21.50314932866514
2016-06-16 11:00:00,12,3193.1343378003967,22.174544012502754
2016-06-24 00:00:00,12,3219.5138121287314,22.357734806449525
2016-06-16 10:00:00,14,4506.313271407086,22.99139424187289
2016-06-23 22:00:00,11,2879.823062432738,23.800190598617668
2016-06-23 17:00:00,23,12744.566866161282,24.09180882072076
2016-06-22 15:00:00,11,3053.504824286739,25.235577060220987
2016-06-23 18:00:00,18,8379.482362924804,25.862599885570383
2016-06-24 12:00:00,11,3265.2643488798462,26.985655775866498
2016-06-21 07:00:00,9,2200.8295898153306,27.170735676732477
2016-06-03 07:00:00,11,3390.0279757686812,28.01676013031968
2016-06-30 10:00:00,9,2335.1206105864662,28.828649513413165
2016-06-01 15:00:00,8,1869.9339153605158,29.21771742750806
