DateHour,Count,Average_lof,Ranking_Factor
2016-01-08 07:00:00,11,19830.554979562603,163.88888412861655
2016-01-06 06:00:00,12,26673.07673853015,185.22969957312606
2016-01-27 12:00:00,9,18865.160099212044,232.90321110138325
2016-01-29 09:00:00,6,9681.80887371215,268.93913538089305
2016-01-06 12:00:00,7,13884.41463420452,283.3554006980514
2016-02-03 08:00:00,17,49954.917064718255,172.85438430698358
2016-02-05 07:00:00,9,17842.76598746043,220.28106157358553
2016-02-04 08:00:00,6,9638.895472613998,267.74709646149995
2016-02-04 07:00:00,7,13813.332167411128,281.9047381104312
2016-02-05 06:00:00,11,36214.46733863502,299.2931185011159
2016-03-04 07:00:00,19,50015.4318658316,138.54690267543378
2016-03-16 12:00:00,21,62100.52170020728,140.81750952427956
2016-03-10 06:00:00,18,55947.94503121265,172.67884268892794
2016-03-10 07:00:00,22,85666.15521752987,176.99618846597082
2016-03-11 08:00:00,9,19376.692623108334,239.2184274457819
2016-04-21 07:00:00,15,32294.98796831102,143.53327985916007
2016-04-21 08:00:00,9,16914.163946062792,208.81683884028138
2016-04-01 06:00:00,9,19870.093669800066,245.3097983925934
2016-04-21 06:00:00,14,54147.339954704104,276.2619385444087
2016-05-04 08:00:00,10,20647.37881505222,206.47378815052218
2016-05-10 06:00:00,9,17419.69730237089,215.05799138729492
2016-05-06 04:00:00,7,11444.860013279656,233.56857169958482
2016-05-06 06:00:00,12,34714.921774932845,241.07584565925586
2016-05-18 12:00:00,15,57988.95392294025,257.7286841019567
2016-06-23 20:00:00,23,66017.89273198313,124.79752879391896
2016-06-23 19:00:00,18,44173.6250210178,136.33834883030184
2016-06-23 17:00:00,28,109028.43165770761,139.06687711442297
2016-06-23 15:00:00,19,62100.07519336599,172.0223689566925
2016-07-08 07:00:00,23,76994.41758632126,145.54710318775284
2016-07-21 07:00:00,9,17567.545950356573,216.88328333773546
2016-07-01 08:00:00,8,14808.730158518394,231.3864087268499
2016-07-14 05:00:00,12,41219.353085119525,286.24550753555224
2016-07-26 08:00:00,7,14331.398784864099,292.4775262217163
2016-08-17 12:00:00,16,49690.75955789027,194.10452952300886
2016-08-26 08:00:00,25,130071.13664174677,208.11381862679482
2016-08-04 05:00:00,9,17952.120842638036,221.63112151404982
2016-08-05 06:00:00,22,115948.56831413749,239.5631576738378
2016-08-12 08:00:00,8,17110.553963758302,267.3524056837235
2016-09-01 08:00:00,12,25660.21977473169,178.19597065785896
2016-09-30 06:00:00,9,17065.705905854822,210.6877272327756
2016-09-21 12:00:00,19,77828.01361610329,215.59006541856866
2016-09-06 08:00:00,17,64464.58237957134,223.06083868363785
2016-10-20 07:00:00,14,30282.050787919026,154.50025912203586
2016-10-07 07:00:00,11,18841.901648529416,155.71819544239187
2016-10-07 06:00:00,16,56650.07672573214,221.28936220989118
2016-10-24 01:00:00,9,18395.912526111486,227.11003118656154
2016-10-25 00:00:00,7,11289.801023263462,230.40410251558086
2016-11-08 18:00:00,11,20637.3356610126,170.55649306621982
2016-11-09 01:00:00,16,44664.81136811374,174.4719194066943
2016-11-09 08:00:00,10,17682.627444523892,176.82627444523894
2016-11-09 02:00:00,11,25966.745001285988,214.60119835773543
2016-11-08 19:00:00,14,43694.568367869695,222.9314712646413
2016-12-08 07:00:00,18,40505.47714056812,125.01690475483987
2016-12-08 06:00:00,21,56338.42150770486,127.75152269320829
2016-12-04 16:00:00,14,40560.4767253725,206.94120778251275
2016-12-14 13:00:00,9,21981.55139089526,271.37717766537355
