DateHour,Count,Average_lof,Ranking_Factor
2016-01-21 07:00:00,10,3173.841689512493,31.738416895124928
2016-01-14 08:00:00,9,2587.8084668374604,31.948252677005684
2016-01-08 07:00:00,10,3291.095204149865,32.910952041498646
2016-01-06 06:00:00,11,4523.247258313976,37.38220874639649
2016-01-21 08:00:00,10,3745.4780535603322,37.45478053560332
2016-01-07 02:00:00,10,3834.766850757973,38.347668507579726
2016-01-11 01:00:00,6,1496.3027880914624,41.56396633587396
2016-01-15 10:00:00,6,1502.1714785697059,41.72698551582516
2016-01-07 11:00:00,8,2682.0888391931953,41.90763811239368
2016-01-27 12:00:00,8,2702.3817294201917,42.224714522190496
2016-02-03 08:00:00,15,8286.984771379157,36.831043428351805
2016-02-24 08:00:00,7,1845.545311194926,37.664190024386244
2016-02-08 08:00:00,8,2481.046968171874,38.76635887768553
2016-02-05 07:00:00,8,2690.7874652813352,42.04355414502086
2016-02-04 08:00:00,7,2065.883945988501,42.16089685690819
2016-02-16 00:00:00,7,2098.6547155473,42.82968807239388
2016-02-08 00:00:00,7,2105.7081982623076,42.97363669923077
2016-02-05 11:00:00,7,2199.0804779952077,44.87919342847363
2016-02-17 12:00:00,6,1642.5678135000417,45.62688370833449
2016-02-11 01:00:00,7,2247.3603829556914,45.86449761134064
2016-03-16 12:00:00,17,6715.146351088212,23.23580052279658
2016-03-04 07:00:00,18,7704.615573960697,23.779677697409557
2016-03-10 07:00:00,20,10751.01695857459,26.877542396436475
2016-03-10 10:00:00,11,3434.113424872635,28.381102684897808
2016-03-10 06:00:00,16,8080.192392148366,31.563251531829554
2016-03-10 09:00:00,10,3173.897365594672,31.73897365594672
2016-03-10 08:00:00,11,4147.168974654651,34.27412375747645
2016-03-11 08:00:00,9,2799.9083519490464,34.56676977714872
2016-03-17 02:00:00,9,2893.956210601368,35.727854451868744
2016-03-04 06:00:00,10,4134.099445614218,41.34099445614218
2016-04-21 07:00:00,14,4330.6176997639595,22.094988264101833
2016-04-12 08:00:00,9,2506.984454034722,30.95042535845336
