DateHour,Count,Average_lof,Ranking_Factor
2012-01-27 03:00:00,6,254.10675319266036,42.35112553211006
2012-01-27 09:00:00,7,299.5931901888649,42.79902716983785
2012-01-17 00:00:00,5,240.64830030399963,48.12966006079993
2012-01-24 02:00:00,6,297.4407463660178,49.57345772766963
2012-01-27 07:00:00,5,253.44049767982233,50.68809953596447
2012-01-12 07:00:00,4,213.20680780656699,53.301701951641746
2012-02-29 08:00:00,11,322.4927042828655,29.31751857116959
2012-02-09 06:00:00,10,303.5961678814548,30.35961678814548
2012-02-16 09:00:00,7,265.88157973447045,37.98308281921006
2012-02-19 16:00:00,6,238.94578540999655,39.82429756833276
2012-02-28 19:00:00,5,249.8377139937947,49.96754279875894
2012-03-13 12:00:00,10,316.1959566834033,31.61959566834033
2012-03-19 08:00:00,8,287.53880257099394,35.94235032137424
2012-03-22 02:00:00,8,303.6455095111428,37.95568868889285
2012-03-19 09:00:00,6,242.37596524240405,40.39599420706734
2012-03-06 03:00:00,7,290.32175920604107,41.47453702943444
2012-04-25 12:00:00,6,245.6949548743464,40.9491591457244
2012-04-13 06:00:00,6,260.3805473718842,43.39675789531403
2012-04-19 15:00:00,7,316.2609261253432,45.180132303620454
2012-04-27 06:00:00,6,277.09409482171515,46.182349136952524
2012-04-10 09:00:00,6,284.70108650692754,47.45018108448792
2012-04-16 16:00:00,5,260.9702633665341,52.194052673306814
2012-05-03 06:00:00,6,270.0193551088925,45.003225851482085
2012-05-09 08:00:00,6,290.88973266437273,48.481622110728786
2012-05-29 09:00:00,5,248.81901223460528,49.763802446921055
2012-05-24 15:00:00,5,254.09526207126586,50.81905241425317
2012-05-14 16:00:00,5,264.7766797639756,52.955335952795124
2012-05-23 08:00:00,5,268.2437246950087,53.648744939001745
2012-06-29 06:00:00,12,347.8852573426584,28.9904381118882
2012-06-28 21:00:00,14,481.573865169315,34.39813322637964
2012-06-20 10:00:00,11,387.8680401169682,35.26073091972438
2012-06-08 00:00:00,7,286.21277779405534,40.88753968486505
2012-06-28 02:00:00,6,252.13660563862118,42.022767606436865
2012-07-05 06:00:00,9,314.09737956364506,34.899708840405005
2012-07-05 05:00:00,11,385.3055659999858,35.02777872727143
2012-07-18 01:00:00,7,257.6239072767317,36.803415325247386
2012-07-27 07:00:00,7,263.03789299633485,37.57684185661926
2012-07-10 08:00:00,6,235.1489932276895,39.19149887128158
2012-07-27 11:00:00,9,398.6332629055252,44.29258476728058
2012-08-10 00:00:00,7,221.2483990038775,31.60691414341107
2012-08-05 17:00:00,8,279.13324764273887,34.89165595534236
2012-08-22 12:00:00,12,431.22364034429944,35.93530336202495
2012-08-10 10:00:00,5,200.54175492408336,40.108350984816674
2012-08-31 03:00:00,6,253.81355443829,42.30225907304833
2012-09-21 02:00:00,11,364.7835138937332,33.162137626703014
2012-09-12 02:00:00,9,329.3581801736996,36.59535335263329
2012-09-07 06:00:00,9,362.4045613814476,40.26717348682751
2012-09-07 01:00:00,8,348.9902155398779,43.62377694248474
2012-09-06 03:00:00,6,266.7106022727535,44.451767045458915
2012-10-10 08:00:00,11,327.67373771639745,29.788521610581586
2012-10-09 01:00:00,8,271.7601517703112,33.9700189712889
2012-10-03 01:00:00,7,263.52100013852925,37.64585716264703
2012-10-22 20:00:00,6,230.4106382155078,38.40177303591796
2012-10-09 09:00:00,6,262.8960773951342,43.81601289918904
2012-10-15 05:00:00,6,267.1499262412327,44.52498770687212
2012-11-05 00:00:00,9,299.9281438037793,33.32534931153103
2012-11-20 20:00:00,9,305.0900525658903,33.898894729543365
2012-11-20 01:00:00,7,289.72661842577025,41.38951691796718
2012-11-20 07:00:00,5,229.4935555470701,45.898711109414016
2012-11-26 15:00:00,8,374.1751159507326,46.77188949384158
2012-11-16 08:00:00,6,283.683083293371,47.2805138822285
2012-12-14 08:00:00,7,255.17146463698413,36.453066376712016
2012-12-06 08:00:00,8,314.2580810797911,39.28226013497389
2012-12-13 23:00:00,7,278.3877870745526,39.769683867793226
2012-12-04 17:00:00,6,250.29881500086344,41.716469166810576
2012-12-16 15:00:00,9,418.46344640384206,46.49593848931578
2013-01-08 03:00:00,6,238.58741131027182,39.76456855171197
2013-01-01 18:00:00,5,236.20056252592514,47.240112505185024
2013-01-31 18:00:00,5,259.72787512404557,51.945575024809116
2013-01-04 04:00:00,4,207.80061892912684,51.95015473228171
2013-01-18 06:00:00,5,267.8237992944214,53.56475985888428
2013-01-18 00:00:00,4,217.30331616244735,54.325829040611836
2013-02-01 07:00:00,8,218.51273234035983,27.31409154254498
2013-02-07 08:00:00,6,250.99570904522554,41.832618174204256
2013-02-07 06:00:00,7,295.9071266462641,42.272446663752014
2013-02-25 11:00:00,7,316.8665263412122,45.26664662017317
2013-02-22 04:00:00,7,316.9640538806562,45.280579125808025
2013-03-07 06:00:00,10,423.8643262493686,42.38643262493686
2013-03-24 17:00:00,12,518.5389878513478,43.211582320945645
2013-03-25 11:00:00,8,367.82204609292427,45.97775576161553
2013-03-25 10:00:00,6,318.2793313441238,53.046555224020636
2013-03-04 02:00:00,6,322.4326425833627,53.73877376389378
2013-04-23 01:00:00,10,394.94626408169455,39.49462640816945
2013-04-22 18:00:00,6,237.72635284397907,39.621058807329845
2013-04-30 19:00:00,6,274.4033527784073,45.73389212973455
2013-04-04 07:00:00,7,327.7018999011512,46.814557128735885
2013-04-10 01:00:00,5,235.82164864147268,47.16432972829453
2013-05-08 23:00:00,10,235.8006468410133,23.58006468410133
2013-05-08 06:00:00,8,269.48077952903975,33.68509744112997
2013-05-22 08:00:00,13,471.0743239268526,36.23648645591174
2013-05-09 12:00:00,7,256.66022790891094,36.66574684413013
2013-05-07 08:00:00,6,251.8696762249624,41.97827937082707
2013-06-19 12:00:00,12,317.68772979072406,26.47397748256034
2013-06-06 10:00:00,12,345.5586985441715,28.79655821201429
2013-06-07 07:00:00,9,348.5981543249685,38.733128258329835
2013-06-11 08:00:00,6,255.86697364247178,42.64449560707863
2013-06-06 06:00:00,9,423.2313368264027,47.02570409182252
2013-07-31 12:00:00,13,448.9348313892897,34.5334485684069
2013-07-12 11:00:00,12,500.5350418438261,41.711253486985505
2013-07-16 08:00:00,6,261.3851626740015,43.56419377900025
2013-07-11 09:00:00,5,225.41219578152064,45.082439156304126
2013-07-26 08:00:00,6,298.10315716240456,49.683859527067426
2013-08-20 06:00:00,11,313.4236939149413,28.49306308317648
2013-08-27 02:00:00,9,267.1302035996753,29.68113373329726
2013-08-02 07:00:00,9,272.6878450897615,30.29864945441794
2013-08-27 07:00:00,8,248.582048391955,31.072756048994375
2013-08-15 11:00:00,12,396.60885285096447,33.05073773758037
2013-09-05 06:00:00,16,327.12865060465896,20.445540662791185
2013-09-18 12:00:00,16,491.3099662763728,30.7068728922733
2013-09-30 01:00:00,6,232.90763494082123,38.81793915680354
2013-09-24 21:00:00,5,200.29163714614293,40.058327429228584
2013-09-25 12:00:00,7,291.89757610979973,41.69965372997139
2013-10-02 06:00:00,13,353.962321000817,27.227870846216693
2013-10-29 08:00:00,7,309.83887109393817,44.262695870562595
2013-10-30 02:00:00,5,228.92659041471407,45.785318082942815
2013-10-28 12:00:00,6,279.1908910113362,46.53181516855603
2013-10-01 01:00:00,5,233.12528524561134,46.62505704912227
2013-10-30 11:00:00,6,295.8378463652762,49.306307727546034
2013-11-13 09:00:00,9,363.98056124969924,40.442284583299916
2013-11-22 09:00:00,8,325.4035026378668,40.67543782973335
2013-11-13 23:00:00,6,251.81422327495807,41.969037212493014
2013-11-28 01:00:00,7,324.6653537724463,46.380764824635186
2013-11-11 09:00:00,5,257.5019406205324,51.500388124106486
2013-12-06 07:00:00,8,274.76283749992973,34.345354687491216
2013-12-18 13:00:00,7,314.17603728212373,44.88229104030339
2013-12-02 08:00:00,7,316.6856190103732,45.2408027157676
2013-12-10 02:00:00,5,236.45979652346696,47.29195930469339
2013-12-03 06:00:00,7,335.54199444025255,47.934570634321794
2014-01-07 11:00:00,7,231.68364735851608,33.09766390835944
2014-01-08 12:00:00,7,245.98233229316574,35.14033318473796
2014-01-23 01:00:00,9,341.596178372328,37.95513093025866
2014-01-08 06:00:00,8,306.2642233605728,38.2830279200716
2014-01-31 04:00:00,7,291.53913535887057,41.648447908410084
2014-01-09 06:00:00,7,307.34416502983737,43.90630928997677
2014-02-20 01:00:00,7,274.4924032458444,39.213200463692054
2014-02-03 23:00:00,7,320.44372292079515,45.777674702970735
2014-02-18 08:00:00,5,234.45402160388227,46.89080432077645
2014-02-14 03:00:00,5,248.42814057430752,49.6856281148615
2014-02-24 03:00:00,5,251.57741535174736,50.31548307034947
2014-03-19 12:00:00,8,318.7964052605079,39.84955065756349
2014-03-14 11:00:00,5,238.1701532164635,47.6340306432927
2014-03-06 06:00:00,6,306.4050572817147,51.067509546952444
2014-03-25 07:00:00,4,213.90215768215512,53.47553942053878
2014-03-19 10:00:00,5,268.6678632642818,53.73357265285635
2014-04-04 06:00:00,10,291.8718739254992,29.18718739254992
2014-04-14 06:00:00,7,261.1977657245055,37.31396653207221
2014-04-16 01:00:00,6,263.58092676732537,43.930154461220894
2014-04-04 08:00:00,9,405.84270519883756,45.09363391098195
2014-04-03 08:00:00,7,325.0584483249189,46.43692118927413
2014-05-02 08:00:00,10,395.7535905050212,39.575359050502115
2014-05-06 01:00:00,11,447.3545381216445,40.668594374694955
2014-05-21 12:00:00,6,248.77540791667727,41.46256798611288
2014-05-13 06:00:00,8,345.08430074980197,43.135537593725246
2014-05-29 07:00:00,7,346.2663455724237,49.466620796060525
2014-06-30 09:00:00,11,343.762092255361,31.25109929594191
2014-06-18 12:00:00,8,299.7447427018389,37.46809283772986
2014-06-04 08:00:00,7,265.0960068933626,37.87085812762323
2014-06-06 06:00:00,11,417.43123656847143,37.9482942334974
2014-06-16 06:00:00,7,268.7042924061205,38.38632748658864
2014-07-31 01:00:00,8,227.5030727165794,28.437884089572425
2014-07-29 22:00:00,8,244.5145434462005,30.56431793077506
2014-07-03 06:00:00,12,387.6222321372316,32.301852678102634
2014-07-30 12:00:00,10,335.21922206053597,33.521922206053596
2014-07-15 08:00:00,13,475.45062726207107,36.57312517400547
2014-08-08 08:00:00,10,242.15233987432103,24.215233987432104
2014-08-27 08:00:00,11,284.83736933877276,25.894306303524797
2014-08-06 10:00:00,8,228.26557879444658,28.533197349305823
2014-08-07 07:00:00,9,298.93661391795854,33.215179324217615
2014-08-01 07:00:00,7,236.78205898223834,33.82600842603405
2014-09-25 01:00:00,10,334.1842044842561,33.41842044842561
2014-09-30 08:00:00,9,319.6932300788676,35.52147000876307
2014-09-30 09:00:00,5,223.20864331640314,44.64172866328063
2014-09-18 08:00:00,6,275.02825094996433,45.83804182499406
2014-09-12 06:00:00,5,237.41972611231273,47.483945222462545
2014-10-02 07:00:00,11,240.85611096781406,21.896010087983097
2014-10-30 07:00:00,7,228.63094802335908,32.66156400333701
2014-10-06 12:00:00,11,376.50791316999533,34.22799210636321
2014-10-15 07:00:00,10,356.0490267022079,35.604902670220795
2014-10-02 06:00:00,8,290.71578441292075,36.339473051615094
2014-11-14 08:00:00,11,266.9806083969477,24.270964399722516
2014-11-19 12:00:00,10,311.1572444643185,31.11572444643185
2014-11-10 08:00:00,6,234.76253027645387,39.12708837940898
2014-11-24 02:00:00,6,241.41869273855096,40.23644878975849
2014-11-24 03:00:00,5,213.2927848390941,42.658556967818825
2014-12-04 07:00:00,13,269.4236199080096,20.72489383907766
2014-12-19 09:00:00,11,261.6775684294345,23.788869857221314
2014-12-17 12:00:00,12,312.7182362380831,26.059853019840258
2014-12-04 06:00:00,10,316.18205308312656,31.618205308312657
2014-12-29 11:00:00,8,317.6706505430159,39.708831317876985
2015-01-22 19:00:00,6,223.1168865336999,37.18614775561665
2015-01-23 02:00:00,7,265.19120153584515,37.884457362263596
2015-01-15 02:00:00,10,381.9755769558236,38.19755769558236
2015-01-23 05:00:00,6,229.26847155695523,38.21141192615921
2015-01-15 09:00:00,7,277.01812459655235,39.57401779950748
2015-01-22 19:00:00,6,223.1168865336999,37.18614775561665
2015-01-23 02:00:00,7,265.19120153584515,37.884457362263596
2015-01-15 02:00:00,10,381.9755769558236,38.19755769558236
2015-01-23 05:00:00,6,229.26847155695523,38.21141192615921
2015-01-15 09:00:00,7,277.01812459655235,39.57401779950748
2015-02-10 05:00:00,8,263.9430225986908,32.99287782483635
2015-02-12 07:00:00,8,332.94625741179084,41.618282176473855
2015-02-02 05:00:00,6,251.73505956384585,41.955843260640975
2015-02-20 11:00:00,6,258.4544937547219,43.07574895912032
2015-02-17 04:00:00,5,217.57124511947146,43.514249023894294
2015-04-08 12:00:00,7,250.88120373169104,35.84017196167015
2015-04-30 02:00:00,6,239.14356856627398,39.85726142771233
2015-04-08 08:00:00,6,240.0926825117114,40.01544708528523
2015-04-07 12:00:00,9,389.9636766644295,43.32929740715883
2015-04-03 06:00:00,9,395.8378052454414,43.9819783606046
2015-05-26 08:00:00,6,240.4308807353626,40.07181345589377
2015-05-19 01:00:00,8,373.76734814583716,46.720918518229645
2015-05-21 01:00:00,6,290.43096292583385,48.40516048763897
2015-05-22 06:00:00,9,457.69174773900573,50.85463863766731
