,Index,Price_Gradient,Price,CH_Gradient,CH,lof
4,2013-09-01 15:05:00,-3.5000000000007254e-05,1.32123,-2.0826586012573973e-06,8.742929312109709e-05,282.7286308185575
9,2013-09-01 15:10:00,-0.00013999999999991797,1.32104,1.5545570972395396e-05,0.0001317681005486047,103.71737619888427
14,2013-09-01 15:15:00,0.00019000000000002348,1.3214,2.8266016524031353e-05,9.131714048817773e-05,126.98112187239484
19,2013-09-01 15:20:00,-4.0000000000040004e-05,1.32079,-1.761243197196581e-05,0.00019980639146972726,163.46739950184298
24,2013-09-01 15:25:00,2.0000000000020002e-05,1.32074,-6.731888793013661e-06,0.0001415675282753339,125.78094818647298
29,2013-09-01 15:30:00,-1.4999999999987244e-05,1.32065,4.3980578936931154e-07,0.00012617371087837774,146.51239337972194
34,2013-09-01 15:35:00,0.00011499999999997625,1.32096,2.1033455325852814e-06,9.553208893230634e-05,87.36578984901712
39,2013-09-01 15:40:00,-2.5000000000052758e-05,1.3212,4.487013380299391e-06,9.805925665292669e-05,137.5732099148741
44,2013-09-01 15:45:00,-0.00011499999999997625,1.3208799999999998,1.4412791498432446e-05,8.100601134596014e-05,83.1488296985538
49,2013-09-01 15:50:00,-4.499999999996174e-05,1.32085,7.01434484374225e-07,7.394906055250358e-05,117.40899595808378
54,2013-09-01 15:55:00,4.500000000007276e-05,1.32105,6.720025911208608e-06,7.280449283727265e-05,101.03073785874923
59,2013-09-01 16:00:00,-0.00010500000000002174,1.32118,9.94160212802811e-06,7.648557991296481e-05,103.62202203485997
64,2013-09-01 16:05:00,3.5000000000007254e-05,1.32105,-5.203639461757855e-06,9.608342513309517e-05,131.33224993596994
69,2013-09-01 16:10:00,-7.499999999993623e-05,1.32124,-7.390304014551912e-06,8.956011919544243e-05,110.68060204063853
74,2013-09-01 16:15:00,-4.500000000007276e-05,1.32115,-4.700853090323066e-06,6.810621036907028e-05,87.50266135398121
79,2013-09-01 16:20:00,9.999999999954491e-06,1.32109,-4.540515755875627e-06,5.867055216879283e-05,67.30476009933365
84,2013-09-01 16:25:00,1.5000000000098266e-05,1.3211,-1.3857285842769292e-06,5.58186126439136e-05,101.19827690629177
89,2013-09-01 16:30:00,-7.499999999993623e-05,1.32106,7.142204279352898e-06,6.0804347527651245e-05,98.50899473124072
94,2013-09-01 16:35:00,4.9999999999994487e-05,1.3211,-3.774126991490834e-06,5.211286434246565e-05,109.8609734628936
99,2013-09-01 16:40:00,-6.499999999998174e-05,1.32066,-1.0257730820466412e-05,0.00010529959765345016,139.63851700554443
104,2013-09-01 16:45:00,9.499999999995624e-05,1.32031,-9.755384843771763e-06,0.0001469564056307889,193.2529050592728
109,2013-09-01 16:50:00,-0.0001349999999998852,1.31999,1.2768569635469067e-05,9.291849603733288e-05,132.79895096867358
114,2013-09-01 16:55:00,-3.0000000000085517e-05,1.32006,-8.232947784572462e-06,8.532092607566838e-05,79.96066830924353
119,2013-09-01 17:00:00,-5.9999999999948976e-05,1.32011,-2.23673089397323e-06,6.072786726089779e-05,97.76851444885395
124,2013-09-01 17:05:00,0.00027500000000002517,1.32005,1.954863717869526e-05,8.197159515397269e-05,131.2948442360841
129,2013-09-01 17:10:00,0.0,1.32026,-1.090983572258704e-05,0.00010013232286227447,113.8996199873601
134,2013-09-01 17:15:00,2.0000000000020002e-05,1.32049,8.595944109148154e-06,9.349564748705452e-05,122.36017889251899
139,2013-09-01 17:20:00,-1.4999999999987244e-05,1.32049,-4.285338063437223e-06,6.0498662647961766e-05,117.2472363582631
144,2013-09-01 17:25:00,2.0000000000020002e-05,1.32054,-9.541380434460873e-07,4.496525334564085e-05,58.810008403683696
149,2013-09-01 17:30:00,1.5000000000098266e-05,1.32062,2.673739776485756e-06,4.713966059826622e-05,88.45842088541038
154,2013-09-01 17:35:00,-3.5000000000007254e-05,1.3208,1.651399847057147e-05,8.061348314303538e-05,173.6504559144871
159,2013-09-01 17:40:00,-5.000000000032756e-06,1.32069,-2.6747805218713434e-06,5.6479291777008505e-05,90.94010663487276
164,2013-09-01 17:45:00,0.0001100000000000545,1.32067,3.868188597652697e-06,6.168374265676795e-05,101.94974472228252
169,2013-09-01 17:50:00,-7.000000000012553e-05,1.32087,-3.910629644217334e-06,6.291875735433621e-05,103.78654226623092
174,2013-09-01 17:55:00,-5.000000000032756e-06,1.32073,-1.4927808888233836e-06,9.454124504080079e-05,142.477943892392
179,2013-09-01 18:00:00,-4.499999999996174e-05,1.32064,-6.884433092662831e-06,7.78480928563137e-05,97.47655095423552
184,2013-09-01 18:05:00,-9.9999999999989e-05,1.32036,3.136016712311702e-07,6.73498105732634e-05,83.63777592410811
189,2013-09-01 18:10:00,9.9999999999989e-05,1.32046,1.1658602343624659e-05,8.48389052312541e-05,129.33455701394698
194,2013-09-01 18:15:00,-4.0000000000040004e-05,1.32053,-2.3599745384578146e-06,6.688524943466653e-05,69.98111247986758
199,2013-09-01 18:20:00,-5.500000000002725e-05,1.32043,-3.2167471917256445e-06,6.671950969084595e-05,92.49169485919013
204,2013-09-01 18:25:00,-0.00017999999999995797,1.31987,1.1339167705035781e-05,8.160826377726863e-05,108.92666634097249
209,2013-09-01 18:30:00,-5.500000000002725e-05,1.31939,-1.418626342734316e-05,0.00014038130852729466,203.5476393046147
214,2013-09-01 18:35:00,-3.5000000000007254e-05,1.31929,-2.833391550910501e-06,9.169916646196635e-05,115.40688587641766
219,2013-09-01 18:40:00,5.000000000032756e-06,1.31935,-5.099563167137134e-06,6.10601188897046e-05,97.78407720199793
224,2013-09-01 18:45:00,4.500000000007276e-05,1.31929,-1.9009272779650776e-06,6.908937121034003e-05,144.3897890667002
229,2013-09-01 18:50:00,4.9999999999994487e-05,1.31931,-1.3656920318908524e-06,5.552443032528432e-05,75.24578106917386
234,2013-09-01 18:55:00,-4.999999999921734e-06,1.31962,6.109708803014542e-06,6.0281953480212e-05,206.4319232990069
239,2013-09-01 19:00:00,0.00024999999999997247,1.31984,1.8411837310751265e-05,9.32705620918422e-05,145.90686025245196
244,2013-09-01 19:05:00,-7.500000000004725e-05,1.31989,-1.2109898459853147e-05,0.00012625991366513838,122.02457451457182
249,2013-09-01 19:10:00,4.500000000007276e-05,1.31988,-3.731753885781617e-06,9.440019277016164e-05,108.77387349001538
254,2013-09-01 19:15:00,0.0,1.3199,-5.125034574580712e-06,6.0209301555526486e-05,97.94596813481819
259,2013-09-01 19:20:00,0.0001100000000000545,1.31988,-7.739406742890298e-07,4.678476158749714e-05,77.93317558964742
264,2013-09-01 19:26:00,0.00014500000000006177,1.32034,-3.2194392316299936e-06,7.504370210229364e-05,139.1594259736459
269,2013-09-01 19:31:00,-2.9999999999974488e-05,1.32041,-6.6855841826346416e-06,7.284587467084679e-05,103.90173308852266
274,2013-09-01 19:36:00,9.500000000006724e-05,1.32031,-4.694102146092785e-06,7.163658468742746e-05,119.99668044606213
279,2013-09-01 19:41:00,-0.00017000000000000348,1.32059,-1.5797695753018334e-06,8.266840441111751e-05,128.33899358022325
284,2013-09-01 19:46:00,-8.500000000000174e-05,1.32061,6.462073086974277e-06,0.00010654371423275633,122.42002196873935
289,2013-09-01 19:51:00,-4.9999999999994487e-05,1.32092,-4.976679945635258e-06,9.395123796297164e-05,113.07873747524245
294,2013-09-01 19:56:00,1.4999999999987244e-05,1.32092,-6.486408188722433e-06,6.902835602519269e-05,75.73898096646968
299,2013-09-01 20:01:00,-6.000000000006001e-05,1.3208,-2.7568002352429537e-06,5.5419701286492886e-05,128.04878057609199
304,2013-09-01 20:06:00,-4.999999999921734e-06,1.3205,-4.7019455156355964e-06,6.051450709409336e-05,87.94897548722568
309,2013-09-01 20:11:00,4.500000000007276e-05,1.32049,2.030908794299085e-06,5.865336569295708e-05,84.21758554201502
314,2013-09-01 20:16:00,1.4999999999987244e-05,1.32048,-1.4884877514765369e-06,4.8227804267211326e-05,77.61249214002412
319,2013-09-01 20:21:00,-0.00012000000000012,1.3202200000000002,6.265711653170802e-06,4.884187782182005e-05,89.30275444147186
324,2013-09-01 20:26:00,1.5000000000098266e-05,1.32016,-4.2765246702964585e-06,6.146495438811622e-05,223.99703310925602
329,2013-09-01 20:31:00,-2.5000000000052758e-05,1.32029,-3.4429259466463586e-06,4.99898682403678e-05,90.45573780357037
334,2013-09-01 20:36:00,4.000000000015103e-05,1.3202200000000002,6.049995467403796e-06,5.119980174137406e-05,93.71715538524658
339,2013-09-01 20:41:00,4.999999999921734e-06,1.32014,-3.6373744324273943e-06,5.226407459325716e-05,87.75245039108319
344,2013-09-01 20:46:00,-5.9999999999948976e-05,1.32015,3.206015028219733e-06,4.997085906656416e-05,67.16025203579358
349,2013-09-01 20:51:00,-2.5000000000052758e-05,1.32005,-8.719468708924763e-07,4.518865211287749e-05,259.99245702784583
354,2013-09-01 20:56:00,2.0000000000020002e-05,1.3202200000000002,1.145637932692257e-06,4.433247102000743e-05,67.59288384494977
359,2013-09-01 21:01:00,0.0,1.32021,-5.037313341687935e-07,4.250040458566885e-05,83.78568888900662
364,2013-09-01 21:06:00,4.0000000000040004e-05,1.32052,-7.021528342769267e-06,9.27216040425636e-05,150.02435377937968
369,2013-09-01 21:11:00,1.0000000000065512e-05,1.3203,1.2705990217624322e-05,0.0001011930745884808,112.82687998285526
374,2013-09-01 21:16:00,-2.0000000000020002e-05,1.32041,-4.341752797806186e-06,7.472178928811295e-05,113.95542090319907
379,2013-09-01 21:21:00,0.0,1.32049,1.665125802053181e-06,7.173583276175254e-05,110.25925432705112
384,2013-09-01 21:26:00,1.4999999999987244e-05,1.32058,-3.597831279875013e-06,5.156965129379618e-05,91.44149597896046
389,2013-09-01 21:31:00,0.0,1.32055,-2.169702577261833e-06,4.398450847184731e-05,94.98773530116247
394,2013-09-01 21:36:00,9.500000000006724e-05,1.32072,8.976649787485632e-06,5.362798487502162e-05,91.04506691187524
399,2013-09-01 21:41:00,-9.500000000006724e-05,1.32084,-9.702908779321018e-07,5.547152237921421e-05,85.02612666796009
404,2013-09-01 21:46:00,-2.9999999999974488e-05,1.32079,-4.101667221989824e-06,5.7474833814187e-05,69.60916977348465
409,2013-09-01 21:51:00,4.999999999921734e-06,1.32062,-4.027596832234327e-06,5.329830575637654e-05,111.98387543100921
414,2013-09-01 21:56:00,-3.4999999999896225e-05,1.32039,1.226060231743269e-05,6.558692017271513e-05,99.86440666433269
419,2013-09-01 22:01:00,1.4999999999987244e-05,1.32062,-5.3737322372138e-06,7.343052184101988e-05,132.49533759263534
424,2013-09-01 22:06:00,3.999999999992898e-05,1.32063,-3.101594858491288e-06,4.884930713965714e-05,95.0198518021664
429,2013-09-01 22:11:00,0.00010500000000002174,1.32086,7.883596100828697e-06,4.494547880984356e-05,88.94359747775539
